Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXNFLDIVISIONWINS              52    55.0    5.50  DEAD
KXPAYROLLS                     52    10.0    1.00  WORTH A FAIR VALUE
KXA100WS                       52     5.0    0.50  WORTH A FAIR VALUE
KXWNBAPTS                      52   127.5   12.75  DEAD
KXWC                           51     1.5    0.15  WORTH A FAIR VALUE
KXRANKLISTDJMAGTOP10           51    15.0    1.50  WORTH A FAIR VALUE
KXDIMAYORGAME                  51    50.0    5.00  DEAD
KXNCAAWBAPRANK                 50    45.0    4.50  DEAD
KXNCAAFSF                      50   115.0   11.50  DEAD
KXNCAAFPLAYOFF                 50    20.0    2.00  UNRESOLVED
KXPGATOP20                     50    10.0    1.00  WORTH A FAIR VALUE
KXINDYCARTOP10                 50    30.0    3.00  DEAD
KXNFLSPREAD                    50    10.0    1.00  WORTH A FAIR VALUE
KXLIGAMXSPREAD                 48     5.0    0.50  WORTH A FAIR VALUE
KXUELSPREAD                    48    70.0    7.00  DEAD
KXNPBTOTAL                     48   145.0   14.50  DEAD
KXNPBSPREAD                    48   230.0   23.00  DEAD
KXBRASILEIROTEAMTOTAL          48    25.0    2.50  UNRESOLVED
KXCOPPAITALIATOTAL             48    20.0    2.00  UNRESOLVED
KXCOPPAITALIATEAMTOTAL         48    30.0    3.00  DEAD
KXSERIECCUPSPREAD              48   480.0   48.00  DEAD
KXOSCARNOMPIC                  47    10.0    1.00  WORTH A FAIR VALUE
KXEMMYCOUNT                    47    30.0    3.00  DEAD
KXMLBEXTRAS                    47    10.0    1.00  WORTH A FAIR VALUE
KXNBATRADE                     46    40.0    4.00  DEAD
KXSTATELEG                     46   285.0   28.50  DEAD
KXYTVIEWSHIGH                  46     5.0    0.50  WORTH A FAIR VALUE
KXUSLSPREAD                    46    35.0    3.50  DEAD
KXFEDMENTION                   45    15.0    1.50  WORTH A FAIR VALUE
KXSERIEAGAME                   45    20.0    2.00  UNRESOLVED
KXLIGUE1GAME                   45    20.0    2.00  UNRESOLVED
KXEPLGAME                      45     5.0    0.50  WORTH A FAIR VALUE
KXBRASILEIROBGAME              45    25.0    2.50  UNRESOLVED
KXSERIECGAME                   45   390.0   39.00  DEAD
KXMLS1H                        45    10.0    1.00  WORTH A FAIR VALUE
KXWNBAREB                      45   155.0   15.50  DEAD
KXNFLMATCHUP                   44    55.0    5.50  DEAD
KXU3                           44    30.0    3.00  DEAD
KXCLUBFSPREAD                  44   117.5   11.75  DEAD
KXWTAMATCH                     44     5.0    0.50  WORTH A FAIR VALUE
KXPERFORMROLE007               43    40.0    4.00  DEAD
KXECONSTATU3                   43    15.0    1.50  WORTH A FAIR VALUE
KXBRASILEIROSPREAD             43    10.0    1.00  WORTH A FAIR VALUE
KXLIGAMXTEAMTOTAL              43    15.0    1.50  WORTH A FAIR VALUE
KXUFCMOV                       43     5.0    0.50  WORTH A FAIR VALUE
KXNFLDIVISIONORDER             42    60.0    6.00  DEAD
KXARGPREMDIVGAME               42     5.0    0.50  WORTH A FAIR VALUE
KXETTANGAME                    42   385.0   38.50  DEAD
KXEFLCHAMPIONSHIPGAME          42     5.0    0.50  WORTH A FAIR VALUE
KXVALORANTGAME                 42    25.0    2.50  UNRESOLVED
KXPODCASTGUESTCALLHERDADDY     41    90.0    9.00  DEAD
KXNFLTRADE                     41    75.0    7.50  DEAD
KXBRASILEIROCTOTAL             41    35.0    3.50  DEAD
KXMLS1HTOTAL                   41     5.0    0.50  WORTH A FAIR VALUE
KXFEDERALCHARGE                40     6.8    0.68  WORTH A FAIR VALUE
KXCFLSPREAD                    40   330.0   33.00  DEAD
KXKBOTOTAL                     40    85.0    8.50  DEAD
KXKBOSPREAD                    40   250.0   25.00  DEAD
KXNATGASD                      40    20.0    2.00  UNRESOLVED
KXATPMATCH                     40     5.0    0.50  WORTH A FAIR VALUE
KXITFMATCH                     40   147.5   14.75  DEAD
KXPRESNOMD                     39     0.5    0.05  WORTH A FAIR VALUE
KXPGATOP10                     39    15.0    1.50  WORTH A FAIR VALUE
KXBRASILEIROCGAME              39    30.0    3.00  DEAD
KXREDISTRICTING                38    17.0    1.70  UNRESOLVED
KX2028DRUN                     38    15.0    1.50  WORTH A FAIR VALUE
KXVSANGLES                     38    95.0    9.50  DEAD
KXVENFUTVESPREAD               38   475.0   47.50  DEAD
KXBBALLTEAMUSA                 37    45.0    4.50  DEAD
KXEUROVISIONPARTICIPANTS       37    30.0    3.00  DEAD
KXNCAAFAPRANK                  37   100.0   10.00  DEAD
KXFEATURE                      37    25.0    2.50  UNRESOLVED
KXLOLTOTALMAPS                 37   155.0   15.50  DEAD
KXNFLTOTAL                     37    15.0    1.50  WORTH A FAIR VALUE
KXCITYCHAMPS                   36    37.5    3.75  DEAD
KXALBUMRELEASEDATE             36    40.0    4.00  DEAD
KXGDP                          36    50.0    5.00  DEAD
KXNYTRESTAURANTS               36    95.0    9.50  DEAD
KXINDYCARTOP3                  36    72.5    7.25  DEAD
KXVENFUTVEGAME                 36   375.0   37.50  DEAD
KXLIGUE1TOTAL                  36    30.0    3.00  DEAD
KXEPLTOTAL                     36    42.5    4.25  DEAD
KXEFLL1GAME                    36    35.0    3.50  DEAD
KXENGNLGAME                    36    45.0    4.50  DEAD
KXJ2LEAGUEGAME                 36   220.0   22.00  DEAD
KXBTCD                         36     5.0    0.50  WORTH A FAIR VALUE
KXUELGAME                      36    20.0    2.00  UNRESOLVED
KXCLUBFGAME                    36    42.5    4.25  DEAD
KXMLBRFI                       36    70.0    7.00  DEAD
KXARGNACBTOTAL                 36    50.0    5.00  DEAD
KXSERIECCUPGAME                36    50.0    5.00  DEAD
