Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXGTA6                          5     5.0    0.50  WORTH A FAIR VALUE
KXG7LEADEROUT                   4    15.0    1.50  INSUFFICIENT
KXNEWROLEGS                     4    25.0    2.50  INSUFFICIENT
KXPRESPARTY                     4    12.5    1.25  INSUFFICIENT
KXTVSEASONRELEASETHELASTOFU     4    37.5    3.75  INSUFFICIENT
KXF1RETIRE                      4    30.0    3.00  INSUFFICIENT
KXEVSHARE                       4    10.0    1.00  INSUFFICIENT
KXCONGRESSPAYINCREASE           4    30.0    3.00  INSUFFICIENT
KXYTUBESUBSISHOWSPEED           4    95.0    9.50  INSUFFICIENT
KXTAIWANLVL4                    4    17.0    1.70  INSUFFICIENT
KXIPOAIRTABLE                   4    40.0    4.00  INSUFFICIENT
KXEUREF                         4    30.0    3.00  INSUFFICIENT
KXELECTUKRAINE                  4    22.5    2.25  INSUFFICIENT
KXECCOMPACT                     4    32.0    3.20  INSUFFICIENT
KXCHINAEUV                      4    32.5    3.25  INSUFFICIENT
KXARTISTCOLLABTHUGANDGUNNA      4    37.5    3.75  INSUFFICIENT
CONTROLS                        4     5.0    0.50  INSUFFICIENT
CONTROLH                        4    17.5    1.75  INSUFFICIENT
KXTRUMPAGCOUNT                  4    29.5    2.95  INSUFFICIENT
KXIMPEACH                       4     5.0    0.50  INSUFFICIENT
KXAGENCYELIM                    4     7.0    0.70  INSUFFICIENT
GOVPARTYVT                      4    12.5    1.25  INSUFFICIENT
SENATESC                        4    10.0    1.00  INSUFFICIENT
SENATEOR                        4    13.2    1.32  INSUFFICIENT
SENATEOK                        4    17.0    1.70  INSUFFICIENT
SENATENH                        4    13.0    1.30  INSUFFICIENT
SENATENC                        4     7.5    0.75  INSUFFICIENT
SENATELA                        4    12.5    1.25  INSUFFICIENT
SENATEKS                        4    12.5    1.25  INSUFFICIENT
SENATEIL                        4    10.5    1.05  INSUFFICIENT
SENATEIA                        4    10.0    1.00  INSUFFICIENT
SENATEGA                        4     8.5    0.85  INSUFFICIENT
SENATECO                        4    15.0    1.50  INSUFFICIENT
SENATEAR                        4    13.2    1.32  INSUFFICIENT
SENATEAL                        4    14.8    1.48  INSUFFICIENT
SENATEAK                        4     7.5    0.75  INSUFFICIENT
KXDEMOCRACYUS                   4    20.0    2.00  INSUFFICIENT
KXAUSTRALIAHOUSE                4    28.8    2.88  INSUFFICIENT
KXMANAGEROUTDATE                4   217.5   21.75  INSUFFICIENT
KXAUSTRALIASENATE               4    39.0    3.90  INSUFFICIENT
KXPARLITURKEY                   4    27.2    2.73  INSUFFICIENT
KXVANCERUN                      4    30.0    3.00  INSUFFICIENT
KXSWEDENPM                      4    25.0    2.50  INSUFFICIENT
KXRUBIORUN                      4    31.2    3.12  INSUFFICIENT
KXOSSOFFRUN                     4    30.0    3.00  INSUFFICIENT
KXOPENAILEADLEFT                4    15.0    1.50  INSUFFICIENT
KXNEWSOMRUN                     4    31.5    3.15  INSUFFICIENT
KXMEDIARELEASESPIDERMAN         4    35.0    3.50  INSUFFICIENT
KXKAMALARUN                     4    17.5    1.75  INSUFFICIENT
KXAOCRUN                        4    35.0    3.50  INSUFFICIENT
KXOSCARVIS                      4    27.5    2.75  INSUFFICIENT
KXOSCARSPLAY                    4    32.5    3.25  INSUFFICIENT
KXOSCARANIMATED                 4    12.5    1.25  INSUFFICIENT
KXOHSENGOVCOMBO                 4    27.5    2.75  INSUFFICIENT
KXNHSENGOVCOMBO                 4    15.0    1.50  INSUFFICIENT
KXKSSENGOVCOMBO                 4   140.0   14.00  INSUFFICIENT
KXIASENGOVCOMBO                 4    20.0    2.00  INSUFFICIENT
KXAKSENGOVCOMBO                 4    67.5    6.75  INSUFFICIENT
KXMETXCOMBO                     4     7.5    0.75  INSUFFICIENT
KXCAGOVLAMAYOR                  4    12.5    1.25  INSUFFICIENT
KXISRAELPM                      4     7.5    0.75  INSUFFICIENT
KXKELOWNAMAYOR                  4     5.0    0.50  INSUFFICIENT
KXSAXANHMP                      4     5.0    0.50  INSUFFICIENT
KXBRPRESIDENT3                  4    30.0    3.00  INSUFFICIENT
KXGOVTFUNDLENGTH                4    27.5    2.75  INSUFFICIENT
KXOSNABRUCKMAYOR                4    30.0    3.00  INSUFFICIENT
KXSAXANHONE                     4    35.0    3.50  INSUFFICIENT
KXSPAINPARLI                    4    28.2    2.83  INSUFFICIENT
KXNBAPACIFIC                    4    12.5    1.25  INSUFFICIENT
KXNBACENTRAL                    4     7.5    0.75  INSUFFICIENT
KXNBAATLANTIC                   4    15.0    1.50  INSUFFICIENT
KXLMNDA                         4     5.0    0.50  INSUFFICIENT
KXSERIEATOP                     4   150.0   15.00  INSUFFICIENT
KXUCLLEAGUE                     4   485.0   48.50  INSUFFICIENT
KXCPCSIZE                       4    30.0    3.00  INSUFFICIENT
KXINDCOUNT                      4     5.0    0.50  INSUFFICIENT
KXUKBYELECTIONCOUNT             4   315.0   31.50  INSUFFICIENT
KXNUMSHUTDOWNS                  4    25.0    2.50  INSUFFICIENT
KXMORATORIUMCOUNT               4    32.5    3.25  INSUFFICIENT
KXMLBNEXTTEAM                   4    60.0    6.00  INSUFFICIENT
KXNCAAMBBIGEAST                 4   180.0   18.00  INSUFFICIENT
KXF1NEXTTEAM                    4    17.5    1.75  INSUFFICIENT
KXPAY                           4     5.0    0.50  INSUFFICIENT
KXPRESNIGERIA                   4    22.2    2.23  INSUFFICIENT
KXBALANCEPOWERCOMBO             4     5.0    0.50  INSUFFICIENT
KXROBOTAXIAREA                  4    22.5    2.25  INSUFFICIENT
KXECONPATH                      4    24.2    2.42  INSUFFICIENT
KXATPRETURN                     4    95.0    9.50  INSUFFICIENT
KXNFLNFCWEST                    4     5.0    0.50  INSUFFICIENT
KXNFLNFCSOUTH                   4     5.0    0.50  INSUFFICIENT
KXNFLNFCNORTH                   4     5.0    0.50  INSUFFICIENT
KXNFLNFCEAST                    4     5.0    0.50  INSUFFICIENT
KXNFLAFCWEST                    4     7.5    0.75  INSUFFICIENT
KXNFLAFCSOUTH                   4     7.5    0.75  INSUFFICIENT
KXNFLAFCNORTH                   4     5.0    0.50  INSUFFICIENT
KXNFLAFCEAST                    4     7.5    0.75  INSUFFICIENT
KXBRRATECUT                     4     5.0    0.50  INSUFFICIENT
KXVENEZDEFACTO                  4    20.0    2.00  INSUFFICIENT
KXTRUMPWEP                      4    14.0    1.40  INSUFFICIENT
KXTARIFFRATEINDIA               4    80.0    8.00  INSUFFICIENT
KXNYCCORPORATETAX               4    32.5    3.25  INSUFFICIENT
KXKASHOUT                       4     5.0    0.50  INSUFFICIENT
KXKASHANNOUNCEOUT               4    12.5    1.25  INSUFFICIENT
KXCANOREOY                      4    27.5    2.75  INSUFFICIENT
KXRECNCH                        4    30.0    3.00  INSUFFICIENT
KXAAAGASMINFL                   4    15.0    1.50  INSUFFICIENT
KXAAAGASMINCA                   4     7.5    0.75  INSUFFICIENT
KXUSDX                          4   140.0   14.00  INSUFFICIENT
KXTSX                           4    65.0    6.50  INSUFFICIENT
KXTESLAENERGYBY                 4    22.5    2.25  INSUFFICIENT
KXTESLADELIVERYBY               4    17.5    1.75  INSUFFICIENT
KXTARIFFSECTOR                  4    87.5    8.75  INSUFFICIENT
KXOPUS48Y                       4    32.5    3.25  INSUFFICIENT
KXOPUS48OY                      4    25.0    2.50  INSUFFICIENT
KXMORTGAGERATE                  4    32.5    3.25  INSUFFICIENT
KXME                            4   257.5   25.75  INSUFFICIENT
KXGEMINI35Y                     4    35.0    3.50  INSUFFICIENT
KXGEMINI35OY                    4    30.0    3.00  INSUFFICIENT
KXGBT55OY                       4    32.5    3.25  INSUFFICIENT
KXFISALENGTH                    4    32.5    3.25  INSUFFICIENT
KXELECTIONBILL                  4     5.0    0.50  INSUFFICIENT
KXCARRIEDINTEREST               4    30.0    3.00  INSUFFICIENT
KX10Y2Y                         4   100.0   10.00  INSUFFICIENT
KXDOGEY                         4    95.0    9.50  INSUFFICIENT
KXFDVOPENSEA                    4    22.5    2.25  INSUFFICIENT
KXETHMINY                       4     5.0    0.50  INSUFFICIENT
KXBTCMINY                       4     5.0    0.50  INSUFFICIENT
KXBTCMAX100                     4     5.0    0.50  INSUFFICIENT
KXH200MAX                       4    10.0    1.00  INSUFFICIENT
KXMOON                          4     5.2    0.53  INSUFFICIENT
KXBARRELS                       4    40.0    4.00  INSUFFICIENT
KXNOTE10Y                       4    92.5    9.25  INSUFFICIENT
KXWRECSS                        4    23.0    2.30  INSUFFICIENT
KXWNBAMVP                       4     7.5    0.75  INSUFFICIENT
KXWNBAMIMP                      4    72.5    7.25  INSUFFICIENT
KXUFCWELTERWEIGHTTITLE          4    20.0    2.00  INSUFFICIENT
KXUFCMIDDLEWEIGHTTITLE          4     5.0    0.50  INSUFFICIENT
KXUFCLHEAVYWEIGHTTITLE          4     7.5    0.75  INSUFFICIENT
KXUFCHEAVYWEIGHTTITLE           4     7.5    0.75  INSUFFICIENT
KXUFCBANTAMWEIGHTTITLE          4    10.0    1.00  INSUFFICIENT
KXTOPSONGSPOTIFY                4     7.5    0.75  INSUFFICIENT
KXTOPPOD                        4    17.5    1.75  INSUFFICIENT
KXTOPARTISTUSA                  4     5.0    0.50  INSUFFICIENT
KXTOPARTIST                     4     7.5    0.75  INSUFFICIENT
KXTOPALBUMSPOTIFYUSA            4    10.0    1.00  INSUFFICIENT
KXTHEGAMBIAPRES                 4    24.5    2.45  INSUFFICIENT
KXRANKLISTGOOGLESEARCH2         4    12.5    1.25  INSUFFICIENT
KXNCAAFACCWINS                  4    65.0    6.50  INSUFFICIENT
KXMOSTWINSEMMYS                 4    25.0    2.50  INSUFFICIENT
KXMLBNLROTY                     4     5.0    0.50  INSUFFICIENT
KXMLBALMVP                      4     5.0    0.50  INSUFFICIENT
KXMLBALCY                       4    12.5    1.25  INSUFFICIENT
KXLOSEREELECTIONRSEN            4    32.5    3.25  INSUFFICIENT
KXBRYSONCOURSERECORDS           4    15.0    1.50  INSUFFICIENT
KXATPGRANDSLAM                  4     7.5    0.75  INSUFFICIENT
KXRTCOMPARE                     4   162.5   16.25  INSUFFICIENT
KXTRUMPENDORSELOSS              4    32.5    3.25  INSUFFICIENT
KXWNBAALLROOKIE                 4    85.0    8.50  INSUFFICIENT
KXNEXTCAT5HURDATE               4   162.5   16.25  INSUFFICIENT
KXALASKAHOUSE                   4    16.2    1.62  INSUFFICIENT
KXMLBWINS-SF                    4   145.0   14.50  INSUFFICIENT
KXMLBWINS-SD                    4   105.0   10.50  INSUFFICIENT
KXMLBWINS-LAD                   4    62.5    6.25  INSUFFICIENT
KXMLBWINS-LAA                   4    75.0    7.50  INSUFFICIENT
KXMLBWINS-BOS                   4    62.5    6.25  INSUFFICIENT
KXMLSLEADER                     4   452.5   45.25  INSUFFICIENT
KXSENATEMAR                     4    18.0    1.80  INSUFFICIENT
KXPROVIDENCEMAYOR               4    17.5    1.75  INSUFFICIENT
KXNMARIANAGOV                   4     5.0    0.50  INSUFFICIENT
KXLOSEPRIMARYHOUSER             4    22.2    2.23  INSUFFICIENT
KXSPACEXSTARSHIP                4     5.0    0.50  INSUFFICIENT
KXLEADERWNBA3PT                 4    30.0    3.00  INSUFFICIENT
KXMLBALCENT                     4     5.0    0.50  INSUFFICIENT
KXLEADERMLBSTEALS               4    27.5    2.75  INSUFFICIENT
KXLEADERMLBOPS                  4    52.5    5.25  INSUFFICIENT
KXLEADERMLBERA                  4    50.0    5.00  INSUFFICIENT
KXEFFR                          4    27.5    2.75  INSUFFICIENT
KXBRSENMOSTSEATS                4    15.0    1.50  INSUFFICIENT
KXBRDEP                         4    35.0    3.50  INSUFFICIENT
KXNEWGLENN                      4     5.0    0.50  INSUFFICIENT
KXNDXREMOVEQ                    4    35.0    3.50  INSUFFICIENT
KXHMONTHRANGE                   4    12.5    1.25  INSUFFICIENT
KXCBDECISIONBRAZIL              4    10.0    1.00  INSUFFICIENT
KXEMMYTVMOVIE                   4    12.5    1.25  INSUFFICIENT
KXEMMYLSERIES                   4    27.5    2.75  INSUFFICIENT
KXEMMYLIMITEDACTO               4    22.5    2.25  INSUFFICIENT
KXEMMYDSERIES                   4    15.0    1.50  INSUFFICIENT
KXEMMYDSACTR                    4    17.5    1.75  INSUFFICIENT
KXEMMYDACTR                     4    20.0    2.00  INSUFFICIENT
KXEMMYCACTR                     4    22.5    2.25  INSUFFICIENT
KXNFLXAPP                       4     5.0    0.50  INSUFFICIENT
KXGROKAPP                       4     5.0    0.50  INSUFFICIENT
KXFANDUELAPP                    4     5.0    0.50  INSUFFICIENT
KXZUCKERBERGNW                  4     5.0    0.50  INSUFFICIENT
KXPAGENW                        4     5.0    0.50  INSUFFICIENT
KXHUANGNW                       4     5.0    0.50  INSUFFICIENT
KXELLISONNW                     4     5.0    0.50  INSUFFICIENT
KXBRINNW                        4     5.0    0.50  INSUFFICIENT
KXBEZOSNW                       4     5.0    0.50  INSUFFICIENT
KXARNAULTNW                     4     5.0    0.50  INSUFFICIENT
KXRAINNYCM                      4    45.0    4.50  INSUFFICIENT
KXGOLFNEXTWIN                   4   122.5   12.25  INSUFFICIENT
KXCOACHOUTNFL                   4     5.0    0.50  INSUFFICIENT
KXSOLMINMON                     4     5.0    0.50  INSUFFICIENT
KXTOPMONTHLY                    4     5.0    0.50  INSUFFICIENT
KXTOPMODEL                      4     7.5    0.75  INSUFFICIENT
KXCBDISRAEL                     4     7.5    0.75  INSUFFICIENT
KXF1TOPCONSTRUCTOR              4    30.0    3.00  INSUFFICIENT
KXSERIEABTTS                    4    35.0    3.50  INSUFFICIENT
KXDFBPOKALBTTS                  4   485.0   48.50  INSUFFICIENT
KXASEANADVANCE                  4   330.0   33.00  INSUFFICIENT
KXBRASILEIROBBTTS               4    22.5    2.25  INSUFFICIENT
KXCONMEBOLSUDSPREAD             4    47.5    4.75  INSUFFICIENT
KXCONMEBOLLIBSPREAD             4    62.5    6.25  INSUFFICIENT
KXNETFLIXTOPVIEWSMOVIE          4    15.0    1.50  INSUFFICIENT
KXHORMUZPEAK                    4    15.0    1.50  INSUFFICIENT
KXLOWTSEA                       4    25.0    2.50  INSUFFICIENT
KXHIGHTHOU                      4    10.0    1.00  INSUFFICIENT
KXHIGHMIA                       4     5.0    0.50  INSUFFICIENT
KXHIGHLAX                       4     5.0    0.50  INSUFFICIENT
KXHIGHAUS                       4    22.5    2.25  INSUFFICIENT
KXTSAW                          4     7.5    0.75  INSUFFICIENT
KXECULPBTTS                     4    32.5    3.25  INSUFFICIENT
KXGOOGSHARE                     4     5.0    0.50  INSUFFICIENT
KXDEEPSHARE                     4    12.5    1.25  INSUFFICIENT
KXANTHSHARE                     4    15.0    1.50  INSUFFICIENT
KXCHLLDPBTTS                    4    27.5    2.75  INSUFFICIENT
KXBRASILEIROC1HBTTS             4    47.5    4.75  INSUFFICIENT
KXPERLIGA1BTTS                  4    25.0    2.50  INSUFFICIENT
KXLIGAPORTUGAL1HBTTS            4    20.0    2.00  INSUFFICIENT
KXLALIGA2BTTS                   4    15.0    1.50  INSUFFICIENT
KXTFF1LIGBTTS                   4    42.5    4.25  INSUFFICIENT
KXPLLGAME                       4    22.5    2.25  INSUFFICIENT
KXLIGAEXP1HSPREAD               4   452.5   45.25  INSUFFICIENT
KXFROPLBTTS                     4    50.0    5.00  INSUFFICIENT
KXBELGIANPLBTTS                 4    17.5    1.75  INSUFFICIENT
KXISRPLCUPADVANCE               4   385.0   38.50  INSUFFICIENT
KXDENSUPERLIGABTTS              4    20.0    2.00  INSUFFICIENT
KXRLGAME                        4   175.0   17.50  INSUFFICIENT
KXSCOCUPBTTS                    4    32.5    3.25  INSUFFICIENT
KXEREDIVISIEBTTS                4     7.5    0.75  INSUFFICIENT
KXEREDIVISIE1HBTTS              4    20.0    2.00  INSUFFICIENT
KXODIMATCH                      4    20.0    2.00  INSUFFICIENT
KXFINYLSPREAD                   4   240.0   24.00  INSUFFICIENT
KXENGCSSPREAD                   4    12.5    1.25  INSUFFICIENT
KXCHNL1BTTS                     4    30.0    3.00  INSUFFICIENT
KXK2LEAGUEBTTS                  4    30.0    3.00  INSUFFICIENT
KXTRUTHSOCIAL                   4    12.5    1.25  INSUFFICIENT
KXAAAGASD                       4    20.0    2.00  INSUFFICIENT
KXCZEFNLSPREAD                  4   440.0   44.00  INSUFFICIENT
KXPPLMATCH                      4   325.0   32.50  INSUFFICIENT
KXNFLGAME                       4     5.0    0.50  INSUFFICIENT
KXTEMPAUSH                      4    30.0    3.00  INSUFFICIENT
KXPBAGAME                       4   170.0   17.00  INSUFFICIENT
KXCHINAHUKOU                    4    27.5    2.75  INSUFFICIENT
KXCHINABIRTHLIMITS              4    35.0    3.50  INSUFFICIENT
KXRIEMANN                       4    30.0    3.00  INSUFFICIENT
KXTRUMPBALLROOM                 4    27.8    2.77  INSUFFICIENT
KXXITAIWAN                      4    22.0    2.20  INSUFFICIENT
KXQUANTUM                       4    22.8    2.27  INSUFFICIENT
KXBTCHALF                       4    36.8    3.67  INSUFFICIENT
KXCOSTCOHOTDOG                  4    32.5    3.25  INSUFFICIENT
KXWCCAREERGOALS                 3    25.0    2.50  INSUFFICIENT
KXFUSION                        3     5.0    0.50  INSUFFICIENT
KXEARTHQUAKECALIFORNIA          3    25.0    2.50  INSUFFICIENT
KXNEXTSPEAKER                   3    23.0    2.30  INSUFFICIENT
KXCANELECTION                   3    35.0    3.50  INSUFFICIENT
KXGERELECTION                   3    30.0    3.00  INSUFFICIENT
KXMAMDANIOUT                    3     5.0    0.50  INSUFFICIENT
KXMARRIAGESTYLESKRAVITZ         3    90.0    9.00  INSUFFICIENT
KXJPMCEONEW                     3    40.0    4.00  INSUFFICIENT
KXUSOPENAIANTH                  3    35.0    3.50  INSUFFICIENT
KXUSAEXPANDTERRITORY            3    10.0    1.00  INSUFFICIENT
KXIMPEACHCABINET                3    25.0    2.50  INSUFFICIENT
KXTXURI                         3    45.0    4.50  INSUFFICIENT
SENATEPA                        3    15.0    1.50  INSUFFICIENT
KXTVSEASONANNOUNCEEUP           3    35.0    3.50  INSUFFICIENT
KXIPOPERPLEXITY                 3    35.0    3.50  INSUFFICIENT
KXALBUMRELEASEDATEBEY           3    35.0    3.50  INSUFFICIENT
KXSENATENYD                     3     5.0    0.50  INSUFFICIENT
KXRELOCATIONCHI                 3     5.0    0.50  INSUFFICIENT
KXSPANISHPM                     3    30.0    3.00  INSUFFICIENT
KXDOMINICANREPUBLICSENATE       3    35.0    3.50  INSUFFICIENT
KXDOMINICANREPUBLICDEPUTIES     3    39.0    3.90  INSUFFICIENT
KXAKPRIMARY                     3    15.0    1.50  INSUFFICIENT
KXPRESTURKEYR1                  3    35.0    3.50  INSUFFICIENT
KXDEMFIRSTCONTEST               3   175.0   17.50  INSUFFICIENT
KXPRESTAIWAN                    3    37.0    3.70  INSUFFICIENT
KXOPENAISECTOR                  3    25.0    2.50  INSUFFICIENT
KXUKRENEWOB                     3    35.0    3.50  INSUFFICIENT
KXTRUMPRUN                      3    15.0    1.50  INSUFFICIENT
KXLAIOUT                        3    38.0    3.80  INSUFFICIENT
KXFDAAPPROVALDATENTLA           3    35.0    3.50  INSUFFICIENT
KXARRESTNETANYAHU               3    10.0    1.00  INSUFFICIENT
KXACQLETTERBOXD                 3    35.0    3.50  INSUFFICIENT
KXUSTESTSREADING                3    18.5    1.85  INSUFFICIENT
KXUSTESTSMATH                   3    19.0    1.90  INSUFFICIENT
KXOSCARCINE                     3    25.0    2.50  INSUFFICIENT
KXMALAYSIAPARLI-2               3    35.0    3.50  INSUFFICIENT
KXVICTORIANSTATE                3    35.0    3.50  INSUFFICIENT
KXTAIWANLOCAL                   3    25.0    2.50  INSUFFICIENT
KXCAPEVERDEPRES                 3    30.0    3.00  INSUFFICIENT
KXMNSENGOVCOMBO                 3    25.0    2.50  INSUFFICIENT
KXMISENGOVCOMBO                 3    20.0    2.00  INSUFFICIENT
KXMESENGOVCOMBO                 3    25.0    2.50  INSUFFICIENT
KXGASENGOVCOMBO                 3    10.0    1.00  INSUFFICIENT
KXWINNIPEGMAYOR                 3     5.0    0.50  INSUFFICIENT
KXNANAIMOMAYOR                  3     5.0    0.50  INSUFFICIENT
KXCEARAGOV                      3    30.0    3.00  INSUFFICIENT
KXBRPRESIDENT2                  3    30.0    3.00  INSUFFICIENT
KXSLOVAKIAPARLI                 3    35.0    3.50  INSUFFICIENT
KXPGARYDER                      3    30.0    3.00  INSUFFICIENT
KXSAXONYANHALT                  3    10.0    1.00  INSUFFICIENT
KXKENYASENATE                   3    40.0    4.00  INSUFFICIENT
KXKENYAASSEMBLY                 3    35.0    3.50  INSUFFICIENT
KXLIKUDPRIMARY                  3    30.0    3.00  INSUFFICIENT
KXCONCACAFGC                    3   170.0   17.00  INSUFFICIENT
KXGREECEPARLI                   3    37.5    3.75  INSUFFICIENT
KXTAKEOVERACQWB                 3     5.0    0.50  INSUFFICIENT
KXNCAAFCONFLEAVE                3    65.0    6.50  INSUFFICIENT
KXLALIGA                        3     5.0    0.50  INSUFFICIENT
KXEREDIVISIE                    3   165.0   16.50  INSUFFICIENT
KXGOVWINS                       3    15.0    1.50  INSUFFICIENT
KXNBAHALLOFFAME                 3   435.0   43.50  INSUFFICIENT
KXNCAAMBACC                     3   150.0   15.00  INSUFFICIENT
KXRANKLISTIFPIARTIST            3    30.0    3.00  INSUFFICIENT
KXNIGERIASENATE                 3    40.0    4.00  INSUFFICIENT
KXNFLFFLEADER                   3   200.0   20.00  INSUFFICIENT
KXNFLWINS-ANY                   3    85.0    8.50  INSUFFICIENT
KXNFLLASTTOLOSE                 3   110.0   11.00  INSUFFICIENT
KXUKSOCIALBAN                   3    35.0    3.50  INSUFFICIENT
KXTHOMASANNOUNCERETIRE          3    30.0    3.00  INSUFFICIENT
KXTARIFFRATEMEX                 3    95.0    9.50  INSUFFICIENT
KXTARIFFRATEEU                  3    90.0    9.00  INSUFFICIENT
KXTARIFFRATECAN                 3    95.0    9.50  INSUFFICIENT
KXLUXONOUT                      3     5.0    0.50  INSUFFICIENT
KXHOWMANYSPEAKERHOUSE           3    27.5    2.75  INSUFFICIENT
KXESTPRES                       3    15.0    1.50  INSUFFICIENT
KXALITOANNOUNCERETIRE           3     5.0    0.50  INSUFFICIENT
GOVPARTYRI                      3    22.0    2.20  INSUFFICIENT
SENATENE                        3     5.0    0.50  INSUFFICIENT
SENATEMT                        3     4.5    0.45  INSUFFICIENT
HOUSEAKAL                       3    30.0    3.00  INSUFFICIENT
KXWBCHEAVYWEIGHTTITLE           3   345.0   34.50  INSUFFICIENT
KXVISITGREENLAND                3    30.0    3.00  INSUFFICIENT
KXTRYFIREWARSH                  3    10.0    1.00  INSUFFICIENT
KXTRYFIRECOOK                   3    15.0    1.50  INSUFFICIENT
KXTRUMPOUT27                    3     5.0    0.50  INSUFFICIENT
KXSWIFTWEDDING                  3    25.0    2.50  INSUFFICIENT
KXSNAPUK                        3    40.0    4.00  INSUFFICIENT
KXNEWROLEX                      3    35.0    3.50  INSUFFICIENT
KXMODELHIGH                     3    25.0    2.50  INSUFFICIENT
KXMEDIARELEASEDUNE3             3    10.0    1.00  INSUFFICIENT
KXGPT55Y                        3    35.0    3.50  INSUFFICIENT
KXFTSE                          3   100.0   10.00  INSUFFICIENT
KXFOLLOWERCOUNTCLAV             3    70.0    7.00  INSUFFICIENT
KXFDAANNOUNCE                   3    15.0    1.50  INSUFFICIENT
KXELECTVENEZUELA                3    20.0    2.00  INSUFFICIENT
KXDST                           3    10.0    1.00  INSUFFICIENT
KXCOMPANYACTIONWAYMO            3    25.0    2.50  INSUFFICIENT
KXAAPLPRICEFOLD                 3    25.0    2.50  INSUFFICIENT
GOVPARTYMI                      3     5.0    0.50  INSUFFICIENT
KXNEARY                         3    95.0    9.50  INSUFFICIENT
KXBNBY                          3    95.0    9.50  INSUFFICIENT
KXDOGEMINY                      3   100.0   10.00  INSUFFICIENT
KXATP1RANK                      3     5.0    0.50  INSUFFICIENT
KXUFCFLYWEIGHTTITLE             3     5.0    0.50  INSUFFICIENT
KXTOTALPRODSALES                3    40.0    4.00  INSUFFICIENT
KXTOTALALBEQUIV                 3    30.0    3.00  INSUFFICIENT
KXTOPARTISTRUNNERUP             3    20.0    2.00  INSUFFICIENT
KXPFAPOY                        3    20.0    2.00  INSUFFICIENT
KXNCAAFBIGTENWINS               3    60.0    6.00  INSUFFICIENT
KXNCAAFBIG12WINS                3    20.0    2.00  INSUFFICIENT
KXMLBNLCY                       3    10.0    1.00  INSUFFICIENT
KXMLBALRELOTY                   3    75.0    7.50  INSUFFICIENT
KXCHESSWORLDCHAMPION            3     5.0    0.50  INSUFFICIENT
KXNUMAPPROP                     3    25.0    2.50  INSUFFICIENT
KXF1CONSTRUCTORS                3     5.0    0.50  INSUFFICIENT
KXKBO                           3   105.0   10.50  INSUFFICIENT
KXMOTOGPTEAMS                   3    20.0    2.00  INSUFFICIENT
KXLGRAM                         3    40.0    4.00  INSUFFICIENT
KXNCAAMBNEXTCOACH               3    10.0    1.00  INSUFFICIENT
KXLEAVEMILLS                    3    25.0    2.50  INSUFFICIENT
KXMLBWINS-WSH                   3    75.0    7.50  INSUFFICIENT
KXMLBWINS-TOR                   3   385.0   38.50  INSUFFICIENT
KXMLBWINS-TEX                   3   120.0   12.00  INSUFFICIENT
KXMLBWINS-TB                    3    20.0    2.00  INSUFFICIENT
KXMLBWINS-NYM                   3    20.0    2.00  INSUFFICIENT
KXMLBWINS-MIN                   3   110.0   11.00  INSUFFICIENT
KXMLBWINS-MIA                   3   155.0   15.50  INSUFFICIENT
KXMLBWINS-HOU                   3   120.0   12.00  INSUFFICIENT
KXMLBWINS-DET                   3    65.0    6.50  INSUFFICIENT
KXMLBWINS-COL                   3    60.0    6.00  INSUFFICIENT
KXMLBWINS-CLE                   3    45.0    4.50  INSUFFICIENT
KXMLBWINS-BAL                   3   120.0   12.00  INSUFFICIENT
KXMLBWINS-AZ                    3    65.0    6.50  INSUFFICIENT
KXREPRODUCTIVEMEASURES          3    35.0    3.50  INSUFFICIENT
KXMISC                          3     5.0    0.50  INSUFFICIENT
KXLOSEPRIMARYSENATER            3    20.0    2.00  INSUFFICIENT
KXLA13                          3    20.0    2.00  INSUFFICIENT
KXGOVFLNOMR                     3     0.5    0.05  INSUFFICIENT
KXGOVFLNOMD                     3     6.5    0.65  INSUFFICIENT
KXENDORSEAOC                    3    30.0    3.00  INSUFFICIENT
KXAKSENATEROUND                 3    30.0    3.00  INSUFFICIENT
KXLEADERWNBAREB                 3    40.0    4.00  INSUFFICIENT
KXMLBNLWEST                     3     5.0    0.50  INSUFFICIENT
KXMLBALWEST                     3    10.0    1.00  INSUFFICIENT
KXMLBALEAST                     3    15.0    1.50  INSUFFICIENT
KXTRUMPUFC                      3     5.0    0.50  INSUFFICIENT
KXNEXTNBACOACH                  3    10.0    1.00  INSUFFICIENT
KXLEADERMLBRUNS                 3    50.0    5.00  INSUFFICIENT
KXMLBWSTREAK                    3    45.0    4.50  INSUFFICIENT
KXMLBLSTREAK                    3    55.0    5.50  INSUFFICIENT
KXCBDECISIONAUSTRALIA           3     5.0    0.50  INSUFFICIENT
KXPRESCUP                       3     5.0    0.50  INSUFFICIENT
KXWNBAWORSTREC                  3    25.0    2.50  INSUFFICIENT
KXCBDSA                         3    30.0    3.00  INSUFFICIENT
KXDEALR                         3    30.0    3.00  INSUFFICIENT
KXCBDECISIONJAPAN               3     5.0    0.50  INSUFFICIENT
KXMA05D                         3    29.0    2.90  INSUFFICIENT
